Signal,invested,shares,value,profit,profit_per_dollar,n_trades,avg_return,win_rate,cagr,max_drawdown
Extra_Extreme_Dip,17425.0,92.66290000000001,27698400.78811982,27680975.78811982,1588.5782374817686,30.0,1.8352542091951585,1.0,1588.5782374817686,
Extra_Pullback,18250.0,89.53359999999999,26763003.71349488,26744753.71349488,1465.465956903829,30.0,1.844790924890661,1.0,1465.465956903829,
Extra_Purple,6000.0,32.7358,9785246.398717638,9779246.398717638,1629.874399786273,11.0,1.5896691788433635,1.0,1629.874399786273,
Fixed_DCA,84750.0,435.124,130065419.3267192,129980669.3267192,1533.6952132946217,178.0,2.1031725089111317,1.0,1533.6952132946217,
Market_Capitulation,4000.0,18.3568,5487136.74606944,5483136.74606944,1370.78418651736,8.0,-0.016651903940859025,1.0,1370.78418651736,
Market_Dislocation,12750.0,68.4575,20463025.352678496,20450275.352678496,1603.9431649159606,19.0,1.6074510592478233,1.0,1603.9431649159606,
Vol_Spike_RSI_Dip,10850.0,51.73819999999999,15465363.156731557,15454513.156731557,1424.3790927863186,19.0,2.277242861598024,1.0,1424.3790927863186,
Any 2+ Signals,19475.0,95.44080000000001,28528758.86615664,28509283.86615664,1463.8913410093269,29.0,1.9133628557243734,1.0,1463.8913410093269,
Extreme Dip + Market Capitulation,0.0,0.0,0.0,0.0,,0.0,,,,
Extreme Dip OR Market Capitulation,21425.0,111.01970000000003,33185537.534189265,33164112.534189265,1547.9165710240031,38.0,1.7082453343770077,1.0,1547.9165710240031,
Extreme Dip + Vol Spike,5600.0,33.7185,10078990.9119423,10073390.9119423,1798.819805703982,6.0,1.5477197103151301,1.0,1798.819805703982,
Extreme Dip + Pullback,14375.0,75.49,22565150.405341998,22550775.405341998,1568.7495934150954,21.0,1.6946572736630694,1.0,1568.7495934150954,
